"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Marketvalue","0.0","Marketvalue-{top_2000_id_1327+us_companies_id_1085}","top_2000_id_1327+us_companies_id_1085","{52.2|0.0}","0.0",,
"Assets","0.3333333333333333","Assets-{fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298}","fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298","{0.0|0.0|0.0}","0.0","true","0.0"
"Assets","1.0","Assets-{top_2000_id_2001+us_companies_id_1072}","top_2000_id_2001+us_companies_id_1072","{0.0|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1178}","us_companies_id_1178","{1935}","1935",,
"Hqcity","0.5","Hqcity-{fortune_500_id_1037+us_companies_id_1221}","fortune_500_id_1037+us_companies_id_1221","{Armonk|Armonk}","Armonk","true","Armonk"
"Website","1.0","Website-{us_companies_id_1247}","us_companies_id_1247","{http://info.iwfinancial.com}","http://info.iwfinancial.com",,
"Website","1.0","Website-{us_companies_id_1005}","us_companies_id_1005","{http://www.accenture.com/us-en/pages/index.aspx}","http://www.accenture.com/us-en/pages/index.aspx",,
"Website","1.0","Website-{us_companies_id_1489}","us_companies_id_1489","{https://www.usaa.com}","https://www.usaa.com",,
"Revenue","0.5","Revenue-{top_2000_id_1344+us_companies_id_1470}","top_2000_id_1344+us_companies_id_1470","{0.0|0.0}","0.0","true","0.0"
"Hqcity","1.0","Hqcity-{us_companies_id_1470}","us_companies_id_1470","{New York}","New York","true","New York"
"Assets","0.5","Assets-{top_2000_id_1217+us_companies_id_1141}","top_2000_id_1217+us_companies_id_1141","{0.0|0.0}","0.0",,
"Revenue","0.5","Revenue-{top_2000_id_1217+us_companies_id_1141}","top_2000_id_1217+us_companies_id_1141","{0.0|0.0}","0.0",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_2080+us_companies_id_1158}","top_2000_id_2080+us_companies_id_1158","{7.8|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1281}","us_companies_id_1281","{Subscriptions, Special Projects}","Subscriptions, Special Projects",,
"Industry","1.0","Industry-{us_companies_id_1400}","us_companies_id_1400","{Data/Technology}","Data/Technology",,
"Industry","1.0","Industry-{us_companies_id_1412}","us_companies_id_1412","{Data/Technology}","Data/Technology",,
"Industry","0.0","Industry-{fortune_500_id_1060+us_companies_id_1304}","fortune_500_id_1060+us_companies_id_1304","{Commercial Banks|Finance & Investment}","Commercial Banks","false","Finance & Investment"
"Industry","1.0","Industry-{us_companies_id_1303}","us_companies_id_1303","{Finance & Investment}","Finance & Investment",,
"Assets","0.5","Assets-{top_2000_id_1620+us_companies_id_1146}","top_2000_id_1620+us_companies_id_1146","{0.0|0.0}","0.0",,
"Hqcity","0.5","Hqcity-{fortune_500_id_1060+us_companies_id_1304}","fortune_500_id_1060+us_companies_id_1304","{New York|New York}","New York","true","New York"
"Industry","0.0","Industry-{fortune_500_id_1005+us_companies_id_1044}","fortune_500_id_1005+us_companies_id_1044","{Insurance: Property and Casualty (Stock)|Finance & Investment}","Finance & Investment","true","Finance & Investment"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1470}","us_companies_id_1470","{2008}","2008","true","2008"
"Hqcity","1.0","Hqcity-{us_companies_id_1460}","us_companies_id_1460","{Boulder}","Boulder",,
"Name","0.3333333333333333","Name-{fortune_500_id_1037+top_2000_id_1032+us_companies_id_1221}","fortune_500_id_1037+top_2000_id_1032+us_companies_id_1221","{IBM|IBM|IBM}","IBM","true","IBM"
"Hqcity","1.0","Hqcity-{us_companies_id_1399}","us_companies_id_1399","{New York}","New York","true","New York"
"Hqcity","1.0","Hqcity-{us_companies_id_1012}","us_companies_id_1012","{New York}","New York","true","New York"
"Name","0.0","Name-{top_2000_id_2512+us_companies_id_1247}","top_2000_id_2512+us_companies_id_1247","{BOK Financial|IW Financial}","IW Financial",,
"Industry","0.0","Industry-{fortune_500_id_1270+us_companies_id_1082}","fortune_500_id_1270+us_companies_id_1082","{Securities|Finance & Investment}","Securities","false","Finance & Investment"
"Website","1.0","Website-{us_companies_id_1212}","us_companies_id_1212","{http://www.healthline.com}","http://www.healthline.com",,
"Revenue","1.0","Revenue-{top_2000_id_1312+us_companies_id_1400}","top_2000_id_1312+us_companies_id_1400","{0.0|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1050}","us_companies_id_1050","{Not reported by company}","Not reported by company",,
"Name","0.0","Name-{top_2000_id_1808+us_companies_id_1364}","top_2000_id_1808+us_companies_id_1364","{Priceline.com|PlaceILive.com}","Priceline.com",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1086}","us_companies_id_1086","{Not reported by company}","Not reported by company","true","Not reported by company"
"Revenue","1.0","Revenue-{top_2000_id_1939+us_companies_id_1065}","top_2000_id_1939+us_companies_id_1065","{0.0|0.0}","0.0",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1024+us_companies_id_1012}","top_2000_id_1024+us_companies_id_1012","{915.8|0.0}","0.0","false","915.8"
"Revenue","0.6666666666666666","Revenue-{fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082}","fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082","{0.0|0.0|0.0}","0.0","true","0.0"
"Hqcity","1.0","Hqcity-{us_companies_id_1178}","us_companies_id_1178","{Sunnyvale}","Sunnyvale",,
"Industry","0.0","Industry-{us_companies_id_1240+us_companies_id_1324}","us_companies_id_1240+us_companies_id_1324","{Geospatial/Mapping|Data/Technology}","Data/Technology",,
"Revenue","1.0","Revenue-{top_2000_id_1037+us_companies_id_1489}","top_2000_id_1037+us_companies_id_1489","{0.0|0.0}","0.0",,
"Website","1.0","Website-{us_companies_id_1164}","us_companies_id_1164","{http://www.farmers.com}","http://www.farmers.com",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1304}","us_companies_id_1304","{Not reported by company}","Not reported by company","true","Not reported by company"
"Name","0.3333333333333333","Name-{fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082}","fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082","{Charles Schwab|Charles Schwab|Charles Schwab Corp.}","Charles Schwab","false","Charles Schwab Corp."
"Website","1.0","Website-{us_companies_id_1273}","us_companies_id_1273","{http://www.libertymutual.com}","http://www.libertymutual.com","true","http://www.libertymutual.com"
"Revenue","0.5","Revenue-{top_2000_id_1620+us_companies_id_1146}","top_2000_id_1620+us_companies_id_1146","{0.0|0.0}","0.0",,
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1037+top_2000_id_1032+us_companies_id_1221}","fortune_500_id_1037+top_2000_id_1032+us_companies_id_1221","{77.147|119.2|0.0}","77.147","true","77.147"
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082}","fortune_500_id_1270+top_2000_id_1517+us_companies_id_1082","{11.785|133.6|0.0}","11.785","true","11.785"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1460}","us_companies_id_1460","{2004}","2004",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1012}","us_companies_id_1012","{1896}","1896","true","1896"
"Hqcity","1.0","Hqcity-{us_companies_id_1240}","us_companies_id_1240","{Englewood}","Englewood",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1399}","us_companies_id_1399","{1880}","1880","true","1880"
"Revenue","1.0","Revenue-{top_2000_id_1480+us_companies_id_1419}","top_2000_id_1480+us_companies_id_1419","{0.0|0.0}","0.0",,
"Hqcity","0.5","Hqcity-{fortune_500_id_1047+us_companies_id_1298}","fortune_500_id_1047+us_companies_id_1298","{New York|New York}","New York","true","New York"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1412}","us_companies_id_1412","{Not reported by company}","Not reported by company",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1303}","us_companies_id_1303","{Not reported by company}","Not reported by company",,
"Name","0.5","Name-{top_2000_id_1620+us_companies_id_1146}","top_2000_id_1620+us_companies_id_1146","{Ensco|Ensco}","Ensco",,
"Marketvalue","0.6666666666666666","Marketvalue-{top_2000_id_1088+us_companies_id_1240+us_companies_id_1324}","top_2000_id_1088+us_companies_id_1240+us_companies_id_1324","{89.4|0.0|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1158}","us_companies_id_1158","{1980}","1980",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1400}","us_companies_id_1400","{Data analysis for clients, Database licensing}","Data analysis for clients, Database licensing",,
"Website","1.0","Website-{us_companies_id_1298}","us_companies_id_1298","{https://www.metlife.com}","https://www.metlife.com","true","https://www.metlife.com"
"Assets","0.3333333333333333","Assets-{fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086}","fortune_500_id_1030+top_2000_id_1018+us_companies_id_1086","{0.0|0.0|0.0}","0.0","true","0.0"
"Website","1.0","Website-{us_companies_id_1044}","us_companies_id_1044","{http://www.berkshirehathaway.com}","http://www.berkshirehathaway.com","true","http://www.berkshirehathaway.com"
"Website","1.0","Website-{us_companies_id_1141}","us_companies_id_1141","{http://www.emc.com/index.htm}","http://www.emc.com/index.htm",,
"Foundingdate","0.0","Foundingdate-{us_companies_id_1240+us_companies_id_1324}","us_companies_id_1240+us_companies_id_1324","{1996|2007}","1996",,
"Industry","1.0","Industry-{us_companies_id_1014}","us_companies_id_1014","{Insurance}","Insurance",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_2279+us_companies_id_1303}","top_2000_id_2279+us_companies_id_1303","{4.0|0.0}","0.0",,
"Industry","1.0","Industry-{us_companies_id_1002}","us_companies_id_1002","{Data/Technology}","Data/Technology",,
"Revenue","0.5","Revenue-{top_2000_id_1305+us_companies_id_1005}","top_2000_id_1305+us_companies_id_1005","{0.0|0.0}","0.0",,
"Name","0.3333333333333333","Name-{fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298}","fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298","{MetLife|MetLife|MetLife}","MetLife","true","MetLife"
"Industry","1.0","Industry-{us_companies_id_1158}","us_companies_id_1158","{Finance & Investment}","Finance & Investment",,
"Industry","0.0","Industry-{fortune_500_id_1047+us_companies_id_1298}","fortune_500_id_1047+us_companies_id_1298","{Insurance: Life, Health (Stock)|Insurance}","Insurance","true","Insurance"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1461}","us_companies_id_1461","{1979}","1979",,
"Name","0.0","Name-{top_2000_id_2634+us_companies_id_1092}","top_2000_id_2634+us_companies_id_1092","{Verisk Analytics|Civis Analytics}","Civis Analytics",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1146}","us_companies_id_1146","{1987}","1987",,
"Revenue","0.3333333333333333","Revenue-{fortune_500_id_1037+top_2000_id_1032+us_companies_id_1221}","fortune_500_id_1037+top_2000_id_1032+us_companies_id_1221","{0.0|0.0|0.0}","0.0","true","0.0"
"Hqcity","1.0","Hqcity-{us_companies_id_1164}","us_companies_id_1164","{Los Angeles}","Los Angeles",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1364}","us_companies_id_1364","{2012}","2012",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1482+us_companies_id_1399}","top_2000_id_1482+us_companies_id_1399","{17.9|0.0}","0.0","false","17.9"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1520}","us_companies_id_1520","{Not reported by company}","Not reported by company",,
"Revenue","0.5","Revenue-{top_2000_id_1516+us_companies_id_1178}","top_2000_id_1516+us_companies_id_1178","{0.0|0.0}","0.0",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_2066+us_companies_id_1456}","top_2000_id_2066+us_companies_id_1456","{4.2|0.0}","0.0",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1459}","us_companies_id_1459","{Not reported by company}","Not reported by company",,
"Website","1.0","Website-{us_companies_id_1065}","us_companies_id_1065","{http://www.cancapital.com/}","http://www.cancapital.com/",,
"Industry","1.0","Industry-{us_companies_id_1461}","us_companies_id_1461","{Data/Technology}","Data/Technology",,
"Industry","1.0","Industry-{us_companies_id_1364}","us_companies_id_1364","{Housing/Real Estate}","Housing/Real Estate",,
"Industry","1.0","Industry-{us_companies_id_1146}","us_companies_id_1146","{Energy}","Energy",,
"Hqcity","1.0","Hqcity-{fortune_500_id_1016+us_companies_id_1249}","fortune_500_id_1016+us_companies_id_1249","{New York|New York}","New York","true","New York"
"Assets","1.0","Assets-{top_2000_id_2634+us_companies_id_1092}","top_2000_id_2634+us_companies_id_1092","{0.0|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1002}","us_companies_id_1002","{2007}","2007",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1014}","us_companies_id_1014","{1931}","1931",,
"Hqcity","1.0","Hqcity-{us_companies_id_1141}","us_companies_id_1141","{Hopkinton}","Hopkinton",,
"Website","1.0","Website-{us_companies_id_1078}","us_companies_id_1078","{http://www.cerner.com}","http://www.cerner.com","true","http://www.cerner.com"
"Website","1.0","Website-{us_companies_id_1066}","us_companies_id_1066","{http://www.canon.com}","http://www.canon.com","true","http://www.canon.com"
"Industry","1.0","Industry-{us_companies_id_1460}","us_companies_id_1460","{Energy}","Energy",,
"Industry","1.0","Industry-{us_companies_id_1012}","us_companies_id_1012","{Finance & Investment}","Finance & Investment","true","Finance & Investment"
"Industry","1.0","Industry-{us_companies_id_1399}","us_companies_id_1399","{Business & Legal Services}","Business & Legal Services","true","Business & Legal Services"
"Revenue","1.0","Revenue-{top_2000_id_2512+us_companies_id_1247}","top_2000_id_2512+us_companies_id_1247","{0.0|0.0}","0.0",,
"Name","0.5","Name-{top_2000_id_2080+us_companies_id_1158}","top_2000_id_2080+us_companies_id_1158","{Experian|Experian}","Experian",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1092}","us_companies_id_1092","{Not reported by company}","Not reported by company",,
"Revenue","1.0","Revenue-{top_2000_id_1159+us_companies_id_1164}","top_2000_id_1159+us_companies_id_1164","{0.0|0.0}","0.0",,
"Hqcity","1.0","Hqcity-{us_companies_id_1065}","us_companies_id_1065","{New York}","New York",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1221}","us_companies_id_1221","{1912}","1912","true","1912"
"Assets","0.5","Assets-{top_2000_id_2528+us_companies_id_1461}","top_2000_id_2528+us_companies_id_1461","{0.0|0.0}","0.0",,
"Revenue","0.5","Revenue-{top_2000_id_1245+us_companies_id_1050}","top_2000_id_1245+us_companies_id_1050","{0.0|0.0}","0.0",,
"Name","0.5","Name-{top_2000_id_1327+us_companies_id_1085}","top_2000_id_1327+us_companies_id_1085","{Chubb|Chubb}","Chubb",,
"Name","0.0","Name-{top_2000_id_1495+us_companies_id_1460}","top_2000_id_1495+us_companies_id_1460","{Tenaris|Tendril}","Tendril",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1514}","us_companies_id_1514","{Not reported by company}","Not reported by company",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1602+us_companies_id_1520}","top_2000_id_1602+us_companies_id_1520","{17.1|0.0}","0.0",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_2917+us_companies_id_1212}","top_2000_id_2917+us_companies_id_1212","{3.9|0.0}","0.0",,
"Hqcity","1.0","Hqcity-{us_companies_id_1066}","us_companies_id_1066","{Melville}","Melville","true","Melville"
"Revenue","1.0","Revenue-{fortune_500_id_1076+us_companies_id_1273}","fortune_500_id_1076+us_companies_id_1273","{0.0|0.0}","0.0","true","0.0"
"Website","1.0","Website-{us_companies_id_1399}","us_companies_id_1399","{http://www.reedelsevier.com/Pages/Home.aspx}","http://www.reedelsevier.com/Pages/Home.aspx","true","http://www.reedelsevier.com/Pages/Home.aspx"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1247}","us_companies_id_1247","{2001}","2001",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1489}","us_companies_id_1489","{1922}","1922",,
"Website","1.0","Website-{us_companies_id_1012}","us_companies_id_1012","{http://www.allianzusa.com}","http://www.allianzusa.com","true","http://www.allianzusa.com"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1005}","us_companies_id_1005","{1989}","1989",,
"Name","0.5","Name-{top_2000_id_2533+us_companies_id_1514}","top_2000_id_2533+us_companies_id_1514","{Wolters Kluwer|Wolters Kluwer}","Wolters Kluwer",,
"Website","1.0","Website-{us_companies_id_1460}","us_companies_id_1460","{http://www.tendrilinc.com/}","http://www.tendrilinc.com/",,
"Hqcity","1.0","Hqcity-{fortune_500_id_1076+us_companies_id_1273}","fortune_500_id_1076+us_companies_id_1273","{Boston|Boston}","Boston","true","Boston"
"Industry","1.0","Industry-{us_companies_id_1212}","us_companies_id_1212","{Healthcare}","Healthcare",,
"Industry","1.0","Industry-{us_companies_id_1247}","us_companies_id_1247","{Finance & Investment}","Finance & Investment",,
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298}","fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298","{69.62|836.8|0.0}","69.62","true","69.62"
"Marketvalue","0.0","Marketvalue-{top_2000_id_1172+us_companies_id_1066}","top_2000_id_1172+us_companies_id_1066","{45.7|0.0}","0.0","false","45.7"
"Assets","1.0","Assets-{top_2000_id_1495+us_companies_id_1460}","top_2000_id_1495+us_companies_id_1460","{0.0|0.0}","0.0",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1201+us_companies_id_1412}","top_2000_id_1201+us_companies_id_1412","{35.5|0.0}","0.0",,
"Hqcity","1.0","Hqcity-{us_companies_id_1050}","us_companies_id_1050","{Atlanta}","Atlanta",,
"Assets","0.5","Assets-{top_2000_id_2080+us_companies_id_1158}","top_2000_id_2080+us_companies_id_1158","{0.0|0.0}","0.0",,
"Website","1.0","Website-{us_companies_id_1178}","us_companies_id_1178","{http://www.fujitsu.com/us/}","http://www.fujitsu.com/us/",,
"Assets","1.0","Assets-{top_2000_id_2066+us_companies_id_1456}","top_2000_id_2066+us_companies_id_1456","{0.0|0.0}","0.0",,
"Industry","1.0","Industry-{us_companies_id_1489}","us_companies_id_1489","{Finance & Investment}","Finance & Investment",,
"Revenue","0.3333333333333333","Revenue-{fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298}","fortune_500_id_1047+top_2000_id_1117+us_companies_id_1298","{0.0|0.0|0.0}","0.0","true","0.0"
"Assets","0.5","Assets-{top_2000_id_1327+us_companies_id_1085}","top_2000_id_1327+us_companies_id_1085","{0.0|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1212}","us_companies_id_1212","{2005}","2005",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1249}","us_companies_id_1249","{1799}","1799","true","1799"
"Assets","0.6666666666666666","Assets-{fortune_500_id_1016+top_2000_id_1002+us_companies_id_1249}","fortune_500_id_1016+top_2000_id_1002+us_companies_id_1249","{0.0|0.0|0.0}","0.0","true","0.0"
"Assets","0.5","Assets-{top_2000_id_2279+us_companies_id_1303}","top_2000_id_2279+us_companies_id_1303","{0.0|0.0}","0.0",,
"Website","1.0","Website-{us_companies_id_1470}","us_companies_id_1470","{http://thomsonreuters.com/}","http://thomsonreuters.com/","true","http://thomsonreuters.com/"
"Assets","0.5","Assets-{top_2000_id_2533+us_companies_id_1514}","top_2000_id_2533+us_companies_id_1514","{0.0|0.0}","0.0",,
"Revenue","1.0","Revenue-{top_2000_id_1705+us_companies_id_1014}","top_2000_id_1705+us_companies_id_1014","{0.0|0.0}","0.0",,
